ID,Player,Nationality,Pos,Club,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK
385,Hugo Lloris, FRA,GK,Tottenham,35,1986,6,6,540,6.0,0,0,0,0,0
386,Danny Loader, ENG,"FW,MF",Porto,21,2000,3,0,52,0.6,0,0,0,0,0
387,Stanislav Lobotka, SVK,MF,Napoli,27,1994,10,10,873,9.7,0,0,0,0,0
388,Manuel Locatelli, ITA,MF,Juventus,24,1998,5,2,222,2.5,0,0,0,0,0
389,Ruben Loftus-Cheek, ENG,MF,Chelsea,26,1996,7,2,285,3.2,0,1,1,0,0
390,Pau López, ESP,GK,Marseille,27,1994,6,6,540,6.0,0,0,0,0,0
391,Alexander lowry, SCO,MF,Rangers,19,2003,1,0,8,0.1,0,0,0,0,0
392,Hirving Lozano, MEX,FW,Napoli,27,1995,9,4,467,5.2,1,1,2,1,0
393,Florentino Luís, POR,MF,Benfica,22,1999,10,10,859,9.5,0,0,0,0,0
394,Romelu Lukaku, BEL,FW,Inter,29,1993,8,0,185,2.1,3,1,4,2,1
395,John Lundstram, ENG,"MF,DF",Rangers,28,1994,5,5,450,5.0,0,0,0,0,0
396,Andriy Lunin, UKR,GK,Real Madrid,23,1999,2,2,180,2.0,0,0,0,0,0
397,Mahir Madatov, AZE,FW,Dinamo Zagreb,25,1997,1,0,21,0.2,0,0,0,0,0
398,Daizen Maeda, JPN,FW,Celtic,24,1997,6,3,330,3.7,0,0,0,0,0
399,Riyad Mahrez, ALG,"FW,MF",Manchester City,31,1991,9,6,506,5.6,3,2,5,2,1
400,Mike Maignan, FRA,GK,Milan,27,1995,7,7,630,7.0,0,0,0,0,0
401,Donyell Malen, NED,"FW,MF",Dortmund,23,1999,6,2,248,2.8,0,0,0,0,0
402,Reinildo Mandava, MOZ,DF,Atlético Madrid,28,1994,6,6,511,5.7,0,0,0,0,0
403,Sadio Mané, SEN,FW,Bayern Munich,30,1992,9,6,552,6.1,3,1,4,3,0
404,Iván Marcano, ESP,DF,Porto,35,1987,3,3,270,3.0,0,0,0,0,0
405,Marcão, BRA,DF,Sevilla,26,1996,3,3,223,2.5,0,0,0,0,0
406,José María Giménez, URU,DF,Atlético Madrid,27,1995,5,5,401,4.5,0,0,0,0,0
407,Mariano, DOM,FW,Real Madrid,28,1993,1,0,6,0.1,0,0,0,0,0
408,Antonio Marin, CRO,FW,Dinamo Zagreb,21,2001,1,0,7,0.1,0,0,0,0,0
409,João Mário, POR,FW,Benfica,29,1993,10,10,861,9.6,6,2,8,1,5
410,João Mário Lopes, POR,DF,Porto,22,2000,5,4,270,3.0,0,0,0,0,0
411,Marquinhos, BRA,DF,Paris S-G,28,1994,8,8,653,7.3,0,0,0,0,0
412,José Marsà, ESP,DF,Sporting CP,20,2002,2,0,101,1.1,0,0,0,0,0
413,Lautaro Martínez, ARG,FW,Inter,24,1997,13,12,997,11.1,3,3,6,3,0
414,Toni Martínez, ESP,FW,Porto,25,1997,7,0,113,1.3,0,0,0,0,0
415,Clinton Mata, ANG,DF,Club Brugge,29,1992,3,2,158,1.8,0,0,0,0,0
416,Pape Matar Sarr, SEN,MF,Tottenham,19,2002,1,1,90,1.0,0,0,0,0,0
417,Joël Matip, CMR,DF,Liverpool,30,1991,4,2,243,2.7,1,0,1,1,0
418,Rabbi Matondo, WAL,"MF,FW",Rangers,21,2000,5,0,97,1.1,0,0,0,0,0
419,Mykola Matviyenko, UKR,DF,Shakhtar,26,1996,6,6,540,6.0,0,0,0,0,0
420,Philipp Max, GER,DF,Eint Frankfurt,28,1993,2,1,113,1.3,0,0,0,0,0
421,Eric Maxim Choupo-Moting, CMR,FW,Bayern Munich,33,1989,7,5,435,4.8,4,0,4,4,0
422,Noussair Mazraoui, MAR,DF,Bayern Munich,24,1997,5,4,392,4.4,0,0,0,0,0
423,Kylian Mbappé, FRA,FW,Paris S-G,23,1998,8,7,651,7.2,7,3,10,6,1
424,Chancel Mbemba, COD,DF,Marseille,27,1994,5,5,406,4.5,2,1,3,2,0
425,James McCarthy, IRL,MF,Celtic,31,1990,1,0,9,0.1,0,0,0,0,0
426,Allan McGregor, SCO,GK,Rangers,40,1982,5,5,450,5.0,0,0,0,0,0
427,Callum McGregor, SCO,MF,Celtic,29,1993,3,3,216,2.4,0,0,0,0,0
428,Weston McKennie, USA,MF,Juventus,23,1998,5,4,360,4.0,2,0,2,2,0
429,Jon McLaughlin, SCO,GK,Rangers,34,1987,1,1,90,1.0,0,0,0,0,0
430,Brandon Mechele, BEL,DF,Club Brugge,29,1993,8,8,720,8.0,0,0,0,0,0
431,Bjorn Meijer, NED,DF,Club Brugge,19,2003,8,6,572,6.4,1,1,2,1,0
432,Raz Meir, ISR,"DF,MF",Maccabi Haifa,25,1996,2,1,83,0.9,0,0,0,0,0
433,Arthur Melo, BRA,MF,Liverpool,25,1996,1,0,14,0.2,0,0,0,0,0
434,Memphis, NED,FW,Barcelona,28,1994,1,0,16,0.2,0,0,0,0,0
435,Sun Menachem, ISR,DF,Maccabi Haifa,28,1993,4,0,59,0.7,0,0,0,0,0
436,Nuno Mendes, POR,"DF,MF",Paris S-G,20,2002,6,5,439,4.9,1,0,1,1,0
437,Edouard Mendy, SEN,GK,Chelsea,30,1992,1,1,90,1.0,0,0,0,0,0
438,Ferland Mendy, FRA,DF,Real Madrid,27,1995,5,4,347,3.9,0,0,0,0,0
439,Alex Meret, ITA,GK,Napoli,25,1997,10,10,900,10.0,0,0,0,0,0
440,Lionel Messi, ARG,"FW,MF",Paris S-G,35,1987,7,7,613,6.8,4,4,8,4,0
441,Junior Messias, BRA,"FW,DF",Milan,31,1991,9,2,316,3.5,1,0,1,1,0
442,Thomas Meunier, BEL,DF,Dortmund,30,1991,4,4,352,3.9,0,1,1,0,0
